prompt_id,user_segment,prompt_type,prompt_text,prompt_version,response_time,feedback_rating,completion_status,sentiment_score,timestamp,user_id,prompt_length,response_length,error_description,location,device_type,is_premium_user
d5db177e-a268-431b-8458-7b6fd91948a9,Student,Education,What is the Pythagorean theorem?,v2,2.9,3.7,Success,0.46,2024-02-05 00:00:00,cedc767c-2b08-4ac1-bebb-e14e5994c22f,5,77,,Canada,Web,False
cdcc6e81-30e6-4b42-a6bf-e50a5ac2dc9b,Student,Education,What is the Pythagorean theorem?,v2,1.61,4.0,Success,-0.69,2024-01-24 00:00:00,00a3d8f6-5e0a-4ceb-bbee-efff0dc9d630,5,30,,United Kingdom,Mobile,False
55d6f5b5-3ae4-4e52-aa36-d2990292a5e6,Developer,Code,Fix this SQL query,v1,3.76,4.3,Success,-0.96,2024-06-15 00:00:00,84e72009-d603-4049-b2ee-8a907a857c5b,4,40,,Canada,Web,False
67a4be35-20a8-4e83-b349-2673f011eebb,Developer,Casual,What should I eat today?,v2,2.04,3.4,Success,-0.63,2024-01-02 00:00:00,a0bc91fa-e83a-46ee-9bde-d3c48e831893,5,70,,United States,Web,True
af68de96-f44c-4ea1-8dfb-c79c279409c7,Marketer,Code,Explain OOP in Java,v2,2.69,2.5,Success,-0.14,2024-03-27 00:00:00,f7578419-471e-4f6e-a123-e572bf533439,4,95,,United States,Web,True
51c4a9f8-d14d-43f9-9b3d-b150db0683cc,Student,Education,Summarize the Cold War,v1,3.15,2.7,Success,-0.72,2024-03-29 00:00:00,74142947-3ca6-41a5-af51-a1d633efcc2b,4,96,,Australia,Web,False
857295b5-40cc-49b7-9ce4-1392fcc18f43,Student,Marketing,Generate email subject lines for a sale,v2,1.77,2.8,Success,-0.09,2024-04-06 00:00:00,7c90543c-adfa-47b3-9e49-0ca926d660fb,7,81,,United Kingdom,Web,True
68ec2392-bf4c-4b7f-bcfc-a97a8d840aa4,Analyst,Education,What is the Pythagorean theorem?,v2,2.0,4.2,Success,0.03,2024-06-29 00:00:00,34f37579-c33b-41e0-8412-331e55c3b4b5,5,30,,Germany,Web,False
ef75ff0a-3ee0-4c53-8c1a-605196858fe2,Student,Education,What is the Pythagorean theorem?,v1,2.06,3.9,Success,0.22,2024-01-21 00:00:00,adeeacd0-6329-4b3e-a2e2-9566796ee033,5,94,,India,Web,True
a5205ea1-0feb-4ffe-b3e3-f574be6b5ffb,Student,Code,Explain OOP in Java,v2,2.02,4.5,Success,-0.8,2024-04-03 00:00:00,b088da7d-a50f-4aee-8b21-d818802480cc,4,91,,United Kingdom,Web,False
0ee69b13-3dcc-42df-974c-e990f2e8464c,Analyst,Code,Explain OOP in Java,v1,2.02,5.0,Success,-0.76,2024-06-28 00:00:00,a1ff4dec-fdce-40e1-a7e8-20be97dc4ead,4,63,,United Kingdom,Mobile,False
503f224b-3a08-4f16-9bc0-57b1f7f36626,Developer,Education,What is the Pythagorean theorem?,v1,2.07,3.8,Success,0.82,2024-04-07 00:00:00,7eb1eb25-80a6-483b-adf5-c88606f05228,5,90,,United States,Web,False
8b4c79af-2802-42d3-be5b-1c3444a2a648,Developer,Marketing,Generate email subject lines for a sale,v2,3.16,2.9,Success,-0.38,2024-01-15 00:00:00,5e117503-d6e8-4855-9353-4f5d06431915,7,35,,India,Web,False
dac8a359-1f22-492f-84a3-f5f8df0b8053,Student,Code,Explain OOP in Java,v2,4.72,4.6,Success,-0.63,2024-02-24 00:00:00,7d03bc5b-3803-43b8-bc14-e19dac6d3c8e,4,34,,United Kingdom,Web,False
f4febaf2-eb8e-4ee6-8b29-960667c308c2,Developer,Marketing,Generate email subject lines for a sale,v2,3.09,3.9,Success,-0.82,2024-06-13 00:00:00,235bc204-5e69-4a2c-94dc-099509dc19ed,7,46,,United States,Web,False
18a3dc4b-1bd8-4680-a5f3-d767102345be,Developer,Casual,What should I eat today?,v1,1.69,2.7,Success,-0.46,2024-05-23 00:00:00,fdb91860-3c81-4859-9fc1-8934cd5add0d,5,67,,United States,Tablet,False
5f0211f8-bd49-427d-8a67-297ddbb69c06,Marketer,Marketing,Generate email subject lines for a sale,v2,2.13,4.5,Success,-0.44,2024-02-05 00:00:00,1b211e86-ea0f-4a54-9017-808e95cf6dfb,7,84,,Australia,Mobile,False
b6656c05-f418-4229-ad54-688ad8109a14,Student,Casual,Tell me a joke,v1,1.6,3.9,Success,0.6,2024-02-10 00:00:00,89047836-6b9c-47c3-8c90-7e4b44bcd001,4,101,,Australia,Mobile,False
d3b72872-79a9-47e8-a8de-1bbaf5cbae3c,Student,Casual,What should I eat today?,v2,1.96,4.2,Success,-0.99,2024-04-29 00:00:00,9eaa218c-9e8a-44c6-aadb-783fc5e516da,5,50,,United Kingdom,Web,False
319e19df-27ad-421c-b9b0-7eaa7555bb15,Student,Marketing,Generate email subject lines for a sale,v1,2.97,4.4,Success,0.46,2024-05-17 00:00:00,ec7a91f4-2667-4af8-81d9-d40f54af4a05,7,64,,United Kingdom,Mobile,True
d484cce6-8793-49f5-94f9-a33c4beb14cb,Analyst,Marketing,Write a product description for a smartwatch,v2,1.83,3.6,Success,0.73,2024-04-26 00:00:00,53923f70-4406-442c-abb0-4f595894d042,7,62,,United States,Tablet,True
1d595dff-6b92-4766-9484-afb4b377c753,Analyst,Education,What is the Pythagorean theorem?,v1,1.29,4.6,Success,-0.87,2024-01-28 00:00:00,dd8299da-eab4-408f-8635-ee3f3fe1a4ca,5,79,,Australia,Web,True
14f26338-e8c1-467d-9fb0-7bf389e4021b,Developer,Marketing,Write a product description for a smartwatch,v2,1.61,3.0,Success,0.46,2024-05-18 00:00:00,af46198f-296f-48a8-aa5a-03c11b4de4a1,7,32,,United Kingdom,Web,False
